Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
thiết kế thời trang,Đại học Hoa Sen,HSU,2025,126-154,0.68
thiết kế thời trang,Đại học Hutech,HTU,2020,155-190,0.65
thiết kế thời trang,Đại học Hutech,HTU,2021,156-191,0.66
thiết kế thời trang,Đại học Hutech,HTU,2022,155-190,0.66
thiết kế thời trang,Đại học Hutech,HTU,2023,163-200,0.67
thiết kế thời trang,Đại học Hutech,HTU,2024,146-179,0.68
thiết kế thời trang,Đại học Hutech,HTU,2025,180-221,0.68
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2020,117-144,0.65
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2021,112-137,0.66
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2022,113-138,0.66
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2023,122-149,0.67
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2024,119-146,0.68
thiết kế thời trang,Đại học Nguyễn Tất Thành,NTT,2025,114-139,0.68
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2020,84-103,0.65
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2021,73-90,0.66
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2022,80-97,0.66
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2023,78-95,0.67
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2024,92-113,0.68
nông nghiệp,Đại học Nông Lâm TP.HCM,NLS,2025,81-99,0.68
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2020,116-141,0.65
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2021,121-148,0.66
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2022,133-162,0.66
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2023,128-157,0.67
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2024,138-169,0.68
nông nghiệp,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2025,136-167,0.68
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2020,111-136,0.65
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2021,117-144,0.66
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2022,122-149,0.66
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2023,121-148,0.67
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2024,110-135,0.68
nông nghiệp,Đại học Công nghiệp TP.HCM,IUH,2025,111-136,0.68
nông nghiệp,Đại học Hutech,HTU,2020,170-207,0.65
nông nghiệp,Đại học Hutech,HTU,2021,198-243,0.66
nông nghiệp,Đại học Hutech,HTU,2022,203-248,0.66
nông nghiệp,Đại học Hutech,HTU,2023,182-223,0.67
nông nghiệp,Đại học Hutech,HTU,2024,182-223,0.68
nông nghiệp,Đại học Hutech,HTU,2025,216-264,0.68
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2020,155-190,0.65
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2021,162-199,0.66
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2022,175-214,0.66
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2023,176-215,0.67
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2024,202-247,0.68
nông nghiệp,Đại học Nguyễn Tất Thành,NTT,2025,200-245,0.68
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2020,89-108,0.65
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2021,92-113,0.66
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2022,81-99,0.66
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2023,97-118,0.67
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2024,95-116,0.68
nuôi trồng thủy sản,Đại học Nông Lâm TP.HCM,NLS,2025,94-115,0.68
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2020,84-103,0.65
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2021,96-117,0.66
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2022,92-113,0.66
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2023,103-126,0.67
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2024,99-122,0.68
nuôi trồng thủy sản,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2025,94-115,0.68
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2020,101-124,0.65
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2021,101-124,0.66
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2022,90-111,0.66
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2023,94-115,0.67
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2024,108-132,0.68
nuôi trồng thủy sản,Đại học Công nghiệp TP.HCM,IUH,2025,107-130,0.68
nuôi trồng thủy sản,Đại học Hutech,HTU,2020,161-196,0.65
nuôi trồng thủy sản,Đại học Hutech,HTU,2021,147-180,0.66
nuôi trồng thủy sản,Đại học Hutech,HTU,2022,170-207,0.66
nuôi trồng thủy sản,Đại học Hutech,HTU,2023,178-217,0.67
nuôi trồng thủy sản,Đại học Hutech,HTU,2024,172-211,0.68
nuôi trồng thủy sản,Đại học Hutech,HTU,2025,170-207,0.68
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2020,153-188,0.65
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2021,166-203,0.66
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2022,162-199,0.66
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2023,163-200,0.67
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2024,164-201,0.68
nuôi trồng thủy sản,Đại học Nguyễn Tất Thành,NTT,2025,174-213,0.68
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2020,74-91,0.65
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2021,81-100,0.66
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2022,87-106,0.66
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2023,81-100,0.67
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2024,86-105,0.68
công nghệ sau thu hoạch,Đại học Nông Lâm TP.HCM,NLS,2025,83-102,0.68
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2020,98-119,0.65
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2021,89-108,0.66
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2022,95-116,0.66
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2023,94-115,0.67
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2024,92-113,0.68
công nghệ sau thu hoạch,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2025,111-136,0.68
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2020,83-102,0.65
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2021,90-110,0.66
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2022,89-108,0.66
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2023,103-126,0.67
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2024,94-115,0.68
công nghệ sau thu hoạch,Đại học Công nghiệp TP.HCM,IUH,2025,109-134,0.68
công nghệ sau thu hoạch,Đại học Hutech,HTU,2020,95-116,0.65
công nghệ sau thu hoạch,Đại học Hutech,HTU,2021,93-114,0.66
công nghệ sau thu hoạch,Đại học Hutech,HTU,2022,95-116,0.66
công nghệ sau thu hoạch,Đại học Hutech,HTU,2023,103-126,0.67
công nghệ sau thu hoạch,Đại học Hutech,HTU,2024,99-122,0.68
công nghệ sau thu hoạch,Đại học Hutech,HTU,2025,118-145,0.68
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2020,164-201,0.65
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2021,177-216,0.66
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2022,204-249,0.66
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2023,175-214,0.67
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2024,199-244,0.68
công nghệ sau thu hoạch,Đại học Nguyễn Tất Thành,NTT,2025,204-249,0.68
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2020,62-75,0.75
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2021,63-77,0.76
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2022,66-81,0.77
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2023,63-78,0.77
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2024,73-90,0.78
toán kinh tế,Đại học Kinh tế TP.HCM,UEH,2025,71-86,0.79
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,88-107,0.75
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,79-96,0.76
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,91-112,0.77
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,96-117,0.77
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,97-118,0.78
toán kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,86-105,0.79
toán kinh tế,Đại học Mở TP.HCM,OUM,2020,110-135,0.75
toán kinh tế,Đại học Mở TP.HCM,OUM,2021,117-144,0.76
toán kinh tế,Đại học Mở TP.HCM,OUM,2022,130-159,0.77
toán kinh tế,Đại học Mở TP.HCM,OUM,2023,122-149,0.77
toán kinh tế,Đại học Mở TP.HCM,OUM,2024,113-138,0.78
toán kinh tế,Đại học Mở TP.HCM,OUM,2025,123-150,0.79
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2020,126-155,0.75
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2021,126-155,0.76
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2022,126-154,0.77
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2023,126-155,0.77
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2024,134-163,0.78
toán kinh tế,Đại học Nguyễn Tất Thành,NTT,2025,126-155,0.79
thống kê,Đại học Kinh tế TP.HCM,UEH,2020,82-101,0.65
thống kê,Đại học Kinh tế TP.HCM,UEH,2021,90-110,0.66
thống kê,Đại học Kinh tế TP.HCM,UEH,2022,82-101,0.66
thống kê,Đại học Kinh tế TP.HCM,UEH,2023,94-115,0.67
thống kê,Đại học Kinh tế TP.HCM,UEH,2024,99-122,0.68
thống kê,Đại học Kinh tế TP.HCM,UEH,2025,97-118,0.68
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,95-116,0.65
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,99-121,0.66
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,100-123,0.66
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,103-126,0.67
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,107-130,0.68
thống kê,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,99-122,0.68
thống kê,Đại học Mở TP.HCM,OUM,2020,136-167,0.65
thống kê,Đại học Mở TP.HCM,OUM,2021,127-156,0.66
thống kê,Đại học Mở TP.HCM,OUM,2022,119-146,0.66
thống kê,Đại học Mở TP.HCM,OUM,2023,123-150,0.67
thống kê,Đại học Mở TP.HCM,OUM,2024,145-178,0.68
thống kê,Đại học Mở TP.HCM,OUM,2025,151-184,0.68
thống kê,Đại học Nguyễn Tất Thành,NTT,2020,149-182,0.65
thống kê,Đại học Nguyễn Tất Thành,NTT,2021,157-192,0.66
thống kê,Đại học Nguyễn Tất Thành,NTT,2022,148-181,0.66
thống kê,Đại học Nguyễn Tất Thành,NTT,2023,144-176,0.67
thống kê,Đại học Nguyễn Tất Thành,NTT,2024,161-196,0.68
thống kê,Đại học Nguyễn Tất Thành,NTT,2025,165-202,0.68
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2020,81-100,0.65
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2021,86-105,0.66
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2022,98-119,0.66
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2023,99-122,0.67
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2024,88-107,0.68
bảo hiểm,Đại học Kinh tế TP.HCM,UEH,2025,101-124,0.68
bảo hiểm,Đại học Tài chính - Marketing,UFM,2020,113-138,0.65
bảo hiểm,Đại học Tài chính - Marketing,UFM,2021,112-137,0.66
bảo hiểm,Đại học Tài chính - Marketing,UFM,2022,120-147,0.66
bảo hiểm,Đại học Tài chính - Marketing,UFM,2023,109-134,0.67
bảo hiểm,Đại học Tài chính - Marketing,UFM,2024,108-133,0.68
bảo hiểm,Đại học Tài chính - Marketing,UFM,2025,124-151,0.68
bảo hiểm,Đại học Mở TP.HCM,OUM,2020,129-158,0.65
bảo hiểm,Đại học Mở TP.HCM,OUM,2021,134-163,0.66
bảo hiểm,Đại học Mở TP.HCM,OUM,2022,131-160,0.66
bảo hiểm,Đại học Mở TP.HCM,OUM,2023,126-155,0.67
bảo hiểm,Đại học Mở TP.HCM,OUM,2024,122-149,0.68
bảo hiểm,Đại học Mở TP.HCM,OUM,2025,135-166,0.68
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2020,94-115,0.65
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2021,95-116,0.66
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2022,101-124,0.66
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2023,110-135,0.67
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2024,108-132,0.68
bảo hiểm,Đại học Nguyễn Tất Thành,NTT,2025,115-140,0.68
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2020,95-116,0.76
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2021,90-111,0.77
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2022,98-119,0.78
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2023,92-113,0.78
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2024,99-122,0.79
tài chính - ngân hàng,Đại học Kinh tế TP.HCM,UEH,2025,105-128,0.8
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2020,126-154,0.76
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2021,129-158,0.77
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2022,122-149,0.78
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2023,135-166,0.78
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2024,130-159,0.79
tài chính - ngân hàng,Đại học Tài chính - Marketing,UFM,2025,147-180,0.8
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2020,162-198,0.76
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2021,144-177,0.77
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2022,151-184,0.78
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2023,149-182,0.78
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2024,165-202,0.79
tài chính - ngân hàng,Đại học Mở TP.HCM,OUM,2025,171-209,0.8
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2020,104-127,0.76
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2021,93-114,0.77
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2022,108-133,0.78
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2023,95-116,0.78
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2024,102-125,0.79
tài chính - ngân hàng,Đại học Nguyễn Tất Thành,NTT,2025,102-125,0.8
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2020,92-113,0.65
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2021,83-102,0.66
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2022,87-106,0.66
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2023,96-117,0.67
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2024,88-107,0.68
quản lý tài nguyên và môi trường,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2025,90-110,0.68
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2020,119-146,0.65
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2021,120-147,0.66
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2022,105-128,0.66
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2023,122-149,0.67
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2024,107-130,0.68
quản lý tài nguyên và môi trường,Đại học Nông Lâm TP.HCM,NLS,2025,127-156,0.68
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2020,132-161,0.65
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2021,121-148,0.66
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2022,149-182,0.66
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2023,141-172,0.67
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2024,154-189,0.68
quản lý tài nguyên và môi trường,Đại học Công nghiệp TP.HCM,IUH,2025,135-165,0.68
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2020,111-136,0.65
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2021,122-149,0.66
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2022,118-145,0.66
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2023,120-147,0.67
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2024,114-139,0.68
quản lý tài nguyên và môi trường,Đại học Hutech,HTU,2025,121-148,0.68
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2020,115-140,0.65
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2021,121-148,0.66
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2022,120-147,0.66
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2023,128-157,0.67
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2024,125-152,0.68
quản lý tài nguyên và môi trường,Đại học Nguyễn Tất Thành,NTT,2025,121-148,0.68
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2020,75-92,0.65
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2021,80-97,0.66
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2022,84-103,0.66
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2023,81-99,0.67
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2024,79-96,0.68
kỹ thuật môi trường,Đại học Bách Khoa TP.HCM,BKA,2025,79-96,0.68
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2020,94-115,0.65
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2021,97-118,0.66
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2022,94-115,0.66
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2023,90-110,0.67
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2024,97-118,0.68
kỹ thuật môi trường,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2025,94-115,0.68
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2020,131-160,0.65
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2021,132-161,0.66
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2022,140-171,0.66
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2023,130-159,0.67
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2024,128-157,0.68
kỹ thuật môi trường,Đại học Công nghiệp TP.HCM,IUH,2025,147-180,0.68
kỹ thuật môi trường,Đại học Hutech,HTU,2020,198-243,0.65
kỹ thuật môi trường,Đại học Hutech,HTU,2021,183-224,0.66
kỹ thuật môi trường,Đại học Hutech,HTU,2022,199-244,0.66
kỹ thuật môi trường,Đại học Hutech,HTU,2023,194-237,0.67
kỹ thuật môi trường,Đại học Hutech,HTU,2024,196-239,0.68
kỹ thuật môi trường,Đại học Hutech,HTU,2025,202-247,0.68
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2020,135-166,0.65
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2021,145-178,0.66
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2022,143-174,0.66
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2023,148-181,0.67
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2024,164-201,0.68
kỹ thuật môi trường,Đại học Nguyễn Tất Thành,NTT,2025,166-203,0.68
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2020,83-102,0.65
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2021,90-110,0.66
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2022,91-112,0.66
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2023,86-105,0.67
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2024,95-116,0.68
quản lý đất đai,Đại học Nông Lâm TP.HCM,NLS,2025,89-108,0.68
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2020,90-111,0.65
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2021,99-122,0.66
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2022,101-124,0.66
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2023,92-113,0.67
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2024,92-113,0.68
quản lý đất đai,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2025,97-118,0.68
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2020,144-176,0.65
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2021,142-173,0.66
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2022,136-167,0.66
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2023,141-172,0.67
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2024,140-171,0.68
quản lý đất đai,Đại học Công nghiệp TP.HCM,IUH,2025,145-178,0.68
quản lý đất đai,Đại học Hutech,HTU,2020,193-236,0.65
quản lý đất đai,Đại học Hutech,HTU,2021,180-220,0.66
quản lý đất đai,Đại học Hutech,HTU,2022,195-238,0.66
quản lý đất đai,Đại học Hutech,HTU,2023,182-223,0.67
quản lý đất đai,Đại học Hutech,HTU,2024,185-226,0.68
quản lý đất đai,Đại học Hutech,HTU,2025,202-247,0.68
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2020,177-216,0.65
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2021,205-250,0.66
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2022,186-227,0.66
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2023,182-223,0.67
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2024,180-221,0.68
quản lý đất đai,Đại học Nguyễn Tất Thành,NTT,2025,184-225,0.68
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,97-118,0.65
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,88-107,0.66
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,101-124,0.66
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,99-122,0.67
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,104-127,0.68
tâm lý học,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,102-125,0.68
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2020,127-156,0.65
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2021,132-161,0.66
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2022,117-144,0.66
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2023,117-144,0.67
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2024,131-160,0.68
tâm lý học,Đại học Sư phạm TP.HCM,SPS,2025,136-167,0.68
tâm lý học,Đại học Văn Lang,VLU,2020,78-95,0.65
tâm lý học,Đại học Văn Lang,VLU,2021,83-102,0.66
tâm lý học,Đại học Văn Lang,VLU,2022,90-111,0.66
tâm lý học,Đại học Văn Lang,VLU,2023,96-117,0.67
tâm lý học,Đại học Văn Lang,VLU,2024,82-101,0.68
tâm lý học,Đại học Văn Lang,VLU,2025,93-114,0.68
tâm lý học,Đại học Hutech,HTU,2020,186-227,0.65
tâm lý học,Đại học Hutech,HTU,2021,181-222,0.66
tâm lý học,Đại học Hutech,HTU,2022,180-220,0.66
tâm lý học,Đại học Hutech,HTU,2023,178-217,0.67
tâm lý học,Đại học Hutech,HTU,2024,183-224,0.68
tâm lý học,Đại học Hutech,HTU,2025,184-225,0.68
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2020,104-127,0.65
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2021,93-114,0.66
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2022,100-123,0.66
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2023,104-127,0.67
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2024,117-143,0.68
tâm lý học,Đại học Nguyễn Tất Thành,NTT,2025,119-146,0.68
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2020,69-84,0.68
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2021,61-74,0.69
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2022,71-86,0.69
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2023,63-78,0.7
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2024,64-79,0.71
kiến trúc,Đại học Kiến trúc TP.HCM,UAH,2025,70-85,0.71
kiến trúc,Đại học Văn Lang,VLU,2020,118-145,0.68
kiến trúc,Đại học Văn Lang,VLU,2021,135-165,0.69
kiến trúc,Đại học Văn Lang,VLU,2022,126-155,0.69
